layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,roc_auc,pr_auc
32,32,0.788915808600848,0.8403997577225923,0.8317369093231162,0.8097606465651228,0.8146577831617202,0.6301512589857199,0.8969676252961973,0.8912949612449854
32,64,0.824954572986069,0.8258631132646881,0.8257047590178842,0.8253294955309801,0.8254088431253785,0.6508179548581685,0.9032699929305184,0.8973120769572321
32,128,0.821320411871593,0.7798304058146578,0.788601337598139,0.8046283934134402,0.8005754088431254,0.6016689033662271,0.8836078826003806,0.8784086918461569
32,256,0.8298001211387038,0.7852816474863719,0.7944331690345028,0.811731595319212,0.8075408843125379,0.6156921897037279,0.8889539258368457,0.8828285148143377
64,32,0.8379769836462749,0.8173834039975773,0.8210682492581602,0.8294364508393286,0.8276801938219261,0.6554993995642577,0.9039449321502193,0.8979149150593612
64,64,0.7795275590551181,0.8637189582071472,0.8511904761904762,0.8137843819159025,0.8216232586311326,0.6455384359637035,0.9042453025734455,0.8977571108247423
64,128,0.7867958812840703,0.8458509993943065,0.8361763759253299,0.810734904041192,0.8163234403391884,0.6337529548061194,0.897232409849435,0.8931002857578536
64,256,0.8243488794669896,0.8173834039975773,0.8186466165413534,0.8214878527237061,0.8208661417322834,0.6417478517659327,0.8974835286948679,0.8866433000302336
128,32,0.7789218655360388,0.8358570563294972,0.8259473346178549,0.8017456359102244,0.807389460932768,0.6157777895613369,0.8874388665937094,0.8850453209445399
128,64,0.8198061780738947,0.8228346456692913,0.8222964763061968,0.8210494388838339,0.821320411871593,0.6426437707908809,0.8997843202786999,0.8934669055025315
128,128,0.8019382192610539,0.8152634766807996,0.8127685696746471,0.8073170731707318,0.8086008479709267,0.6172564991737421,0.8900567209418442,0.8845455390631776
128,256,0.8204118715929739,0.8164748637189582,0.8171945701357466,0.818800060450355,0.818443367655966,0.636891671251383,0.8988080017580153,0.8920997098379377
256,32,0.8125378558449424,0.8070866141732284,0.8081325301204819,0.8103292056780428,0.8098122350090854,0.6196336766148144,0.8864651161254985,0.8769981487261274
256,64,0.8437310720775287,0.8104179285281647,0.8165298944900352,0.8299076556449212,0.8270745003028468,0.6545122790062631,0.9054291747636751,0.8977927901427227
256,128,0.7789218655360388,0.838885523924894,0.8286082474226805,0.8029971901342491,0.8089036947304664,0.6189211003222892,0.8932197361436143,0.8868821595454865
256,256,0.8019382192610539,0.7973955178679588,0.7983117274645765,0.800120864178879,0.7996668685645063,0.5993399211909627,0.8864976753622146,0.8836387717230987
