samples_num_1,samples_num_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
5,10,0.7727272727272727,0.9090909090909091,0.8947368421052632,0.8292682926829269,0.8409090909090909,0.6882472016116853,0.9209710743801653,0.9361277650560679
5,15,0.8409090909090909,0.8181818181818182,0.8222222222222222,0.8314606741573033,0.8295454545454546,0.6592611948214577,0.8796487603305786,0.8869254160315536
5,20,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.6818181818181818,0.9287190082644627,0.9073401816140074
5,25,0.8409090909090909,0.8181818181818182,0.8222222222222222,0.8314606741573033,0.8295454545454546,0.6592611948214577,0.9209710743801652,0.8890413145670029
10,10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9705578512396694,0.9761631699470148
10,15,0.8181818181818182,0.9772727272727273,0.972972972972973,0.8888888888888891,0.8977272727272727,0.8057161971532291,0.9519628099173554,0.9514167944443965
10,20,0.9318181818181818,0.9090909090909091,0.9111111111111111,0.9213483146067416,0.9204545454545454,0.841126352013584,0.9824380165289257,0.9849580759684502
10,25,0.8636363636363636,0.8409090909090909,0.8444444444444444,0.853932584269663,0.8522727272727273,0.7047274841194893,0.9586776859504131,0.9600422233928761
15,10,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,0.8863636363636364,0.7727272727272727,0.9576446280991736,0.9607449969695012
15,15,0.8863636363636364,0.9318181818181818,0.9285714285714286,0.9069767441860465,0.9090909090909091,0.8190283593479222,0.9643595041322314,0.9636071101785706
15,20,0.8863636363636364,0.8181818181818182,0.8297872340425532,0.8571428571428571,0.8522727272727273,0.7061888179523477,0.9524793388429752,0.9548153153565017
15,25,0.8636363636363636,0.8181818181818182,0.8260869565217391,0.8444444444444444,0.8409090909090909,0.6825236327899351,0.9271694214876032,0.928689691746122
20,10,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.6818181818181818,0.918904958677686,0.9328823911890393
20,15,0.9318181818181818,0.8636363636363636,0.8723404255319149,0.9010989010989012,0.8977272727272727,0.7973099557526506,0.9710743801652892,0.9710012337463851
20,20,0.8636363636363636,0.8863636363636364,0.8837209302325582,0.8735632183908046,0.875,0.7501937734175209,0.9560950413223139,0.9649148054734759
20,25,0.8863636363636364,0.9090909090909091,0.9069767441860465,0.896551724137931,0.8977272727272727,0.7956600627155525,0.9679752066115703,0.9716346570409676
