gene	essentiality	ncbi_id	ensembl
A1BG	CSEGs	1	ENSG00000121410
AADACL3	CSEGs	126767	ENSG00000188984
AAMP	CEGs	14	ENSG00000127837
ABCA10	CSEGs	10349	ENSG00000154263
ABCA9	CSEGs	10350	ENSG00000154258
ABCB1	CSEGs	5243	ENSG00000085563
ABCB6	CSEGs	10058	ENSG00000115657
ABCB7	CEGs	22	ENSG00000131269
ABCC10	CSEGs	89845	ENSG00000124574
ABCC11	CSEGs	85320	ENSG00000121270
ABCC4	CSEGs	10257	ENSG00000125257
ABCD3	CSEGs	5825	ENSG00000117528
ABCE1	CEGs	6059	ENSG00000164163
ABCG4	CSEGs	64137	ENSG00000172350
ABHD17A	CSEGs	81926	ENSG00000129968
ABHD17B	CSEGs	51104	ENSG00000107362
ABL1	CSEGs	25	ENSG00000097007
ABLIM1	CSEGs	3983	ENSG00000099204
ABRACL	CSEGs	58527	ENSG00000146386
ACACB	CSEGs	32	ENSG00000076555
ACADSB	CSEGs	36	ENSG00000196177
ACADVL	CSEGs	37	ENSG00000072778
ACBD7	CSEGs	414149	ENSG00000176244
ACCSL	CSEGs	390110	ENSG00000205126
ACKR2	CSEGs	1238	ENSG00000144648
ACKR3	CSEGs	57007	ENSG00000144476
ACOT12	CSEGs	134526	ENSG00000172497
ACOX3	CSEGs	8310	ENSG00000087008
ACP6	CSEGs	51205	ENSG00000162836
ACRBP	CSEGs	84519	ENSG00000111644
ACSL1	CSEGs	2180	ENSG00000151726
ACTC1	CSEGs	70	ENSG00000159251
ACTN4	CSEGs	81	ENSG00000130402
ACTR10	CEGs	55860	ENSG00000131966
ACTR3C	CSEGs	653857	ENSG00000106526
ADAL	CSEGs	161823	ENSG00000168803
ADAM10	CSEGs	102	ENSG00000137845
ADAM2	CSEGs	2515	ENSG00000104755
ADAM20	CSEGs	8748	ENSG00000134007
ADAM30	CSEGs	11085	ENSG00000134249
ADAM7	CSEGs	8756	ENSG00000069206
ADAMTS1	CSEGs	9510	ENSG00000154734
ADAMTS3	CSEGs	9508	ENSG00000156140
ADAMTS4	CSEGs	9507	ENSG00000158859
ADAT1	CSEGs	23536	ENSG00000065457
ADI1	CSEGs	55256	ENSG00000182551
ADIPOQ	CSEGs	9370	ENSG00000181092
ADIPOR1	CSEGs	51094	ENSG00000159346
ADIRF	CSEGs	10974	ENSG00000148671
ADPRH	CSEGs	141	ENSG00000144843
ADRA1A	CSEGs	148	ENSG00000120907
ADRB1	CSEGs	153	ENSG00000043591
ADRB2	CSEGs	154	ENSG00000169252
ADRB3	CSEGs	155	ENSG00000188778
AFF3	CSEGs	3899	ENSG00000144218
AFP	CSEGs	174	ENSG00000081051
AGA	CSEGs	175	ENSG00000038002
AGBL5	CSEGs	60509	ENSG00000084693
AGPS	CSEGs	8540	ENSG00000018510
AGR2	CSEGs	10551	ENSG00000106541
AGRN	CSEGs	375790	ENSG00000188157
AGTR1	CSEGs	185	ENSG00000144891
AGTRAP	CSEGs	57085	ENSG00000177674
AIMP1	CSEGs	9255	ENSG00000164022
AJUBA	CSEGs	84962	ENSG00000129474
AKAP12	CSEGs	9590	ENSG00000131016
AKAP9	CSEGs	10142	ENSG00000127914
AKIP1	CSEGs	56672	ENSG00000166452
AKIRIN2	CEGs	55122	ENSG00000135334
AKR1C1	CSEGs	1645	ENSG00000187134
ALDH1A3	CSEGs	220	ENSG00000184254
ALDH4A1	CSEGs	8659	ENSG00000159423
