dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000056201,Cfl1,C,,"{""mgi_marker"":""MGI:101757"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101757""}"
115,10090,ENSMUSG00000024261,Syt4,NE,,"{""mgi_marker"":""MGI:101759"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101759""}"
115,10090,ENSMUSG00000029439,Sfswap,NE,,"{""mgi_marker"":""MGI:101760"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101760""}"
115,10090,ENSMUSG00000056758,Hmga2,NE,,"{""mgi_marker"":""MGI:101761"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101761""}"
115,10090,ENSMUSG00000008398,Elk3,C,,"{""mgi_marker"":""MGI:101762"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101762""}"
115,10090,ENSMUSG00000062929,Cfl2,C,,"{""mgi_marker"":""MGI:101763"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101763""}"
115,10090,ENSMUSG00000048895,Cdk5r1,C,,"{""mgi_marker"":""MGI:101764"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101764""}"
115,10090,ENSMUSG00000028969,Cdk5,C,,"{""mgi_marker"":""MGI:101765"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101765""}"
115,10090,ENSMUSG00000032547,Ryk,NE,,"{""mgi_marker"":""MGI:101766"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101766""}"
115,10090,ENSMUSG00000038612,Mcl1,C,,"{""mgi_marker"":""MGI:101769"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101769""}"
115,10090,ENSMUSG00000027420,Bfsp1,NE,,"{""mgi_marker"":""MGI:101770"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101770""}"
115,10090,ENSMUSG00000041308,Sntb2,NE,,"{""mgi_marker"":""MGI:101771"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101771""}"
115,10090,ENSMUSG00000027488,Snta1,NE,,"{""mgi_marker"":""MGI:101772"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101772""}"
115,10090,ENSMUSG00000022901,Cd86,NE,,"{""mgi_marker"":""MGI:101773"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101773""}"
115,10090,ENSMUSG00000003379,Cd79a,NE,,"{""mgi_marker"":""MGI:101774"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101774""}"
115,10090,ENSMUSG00000075122,Cd80,NE,,"{""mgi_marker"":""MGI:101775"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101775""}"
