File,Anatomical Structure,Theiler Stage,Age
E-GEOD-74747.rpt,brain,28,postnatal week 8
E-GEOD-74747.rpt,heart,28,postnatal week 8
E-GEOD-74747.rpt,metanephros,28,postnatal week 8
E-GEOD-74747.rpt,liver,28,postnatal week 8
E-GEOD-74747.rpt,lung,28,postnatal week 8
E-GEOD-74747.rpt,skin,28,postnatal week 8
E-GEOD-74747.rpt,spleen,28,postnatal week 8
E-GEOD-74747.rpt,testis,28,postnatal week 8
E-GEOD-74747.rpt,thymus,28,postnatal week 8
E-GEOD-22131.rpt,preoptic area,28,postnatal week 5
E-GEOD-22131.rpt,prefrontal cortex,28,postnatal week 5
E-GEOD-33141.rpt,retina,28,postnatal day 21
E-GEOD-37646.rpt,mammary gland,28,postnatal
E-GEOD-45278.rpt,telencephalon subventricular zone,28,postnatal adult
E-GEOD-45278.rpt,main olfactory bulb,28,postnatal adult
E-GEOD-45278.rpt,dentate gyrus,28,postnatal adult
E-GEOD-53105.rpt,femur metaphysis,28,postnatal week 5
E-GEOD-53105.rpt,femur diaphysis,28,postnatal week 5
E-GEOD-55163.rpt,gastrocnemius muscle,28,postnatal month 6
E-GEOD-65388.rpt,olfactory epithelium,28,postnatal week 13-20
E-GEOD-70484.rpt,arcuate nucleus,28,postnatal week 8
E-GEOD-70484.rpt,dorsal raphe nucleus,28,postnatal week 8
E-GEOD-70484.rpt,upper leg muscle,28,postnatal week 8
E-GEOD-72095.rpt,suprachiasmatic nucleus,28,postnatal week 10-12
E-GEOD-72165.rpt,carotid body,28,postnatal adult
E-GEOD-72165.rpt,adrenal medulla,28,postnatal adult
E-GEOD-76567.rpt,hippocampus,28,postnatal day 62
E-GEOD-77997.rpt,hair follicle,27,postnatal day 3
E-MTAB-2801.rpt,visual cortex,28,postnatal adult
E-MTAB-2801.rpt,quadriceps femoris muscle,28,postnatal adult
E-MTAB-4528.rpt,soleus,28,postnatal
E-MTAB-5020.rpt,corpus striatum,28,postnatal week 8
E-MTAB-5600.rpt,sciatic nerve,28,postnatal day 30
E-MTAB-5707.rpt,small intestine,28,postnatal week 10-12
E-MTAB-6547.rpt,ileum,28,postnatal week 8-12
E-MTAB-6872.rpt,tibia,28,postnatal week 6
E-MTAB-7077.rpt,renal tubule,28,postnatal week 4
E-MTAB-7279.rpt,cerebellar hemisphere,28,postnatal week 12-14
E-MTAB-7279.rpt,thalamus,28,postnatal week 12-14
E-MTAB-7561.rpt,brown fat,28,postnatal week 8
E-MTAB-7561.rpt,white fat,28,postnatal week 8
E-MTAB-8573.rpt,bronchus,28,postnatal week 8-16
E-MTAB-8573.rpt,trachea,28,postnatal week 8-16
E-MTAB-8668.rpt,cochlea,28,postnatal week 6
E-MTAB-8838.rpt,cerebellum,28,postnatal week 8-10
E-MTAB-8838.rpt,spinal cord,28,postnatal week 8-10
E-MTAB-8838.rpt,cerebral cortex,28,postnatal week 8-10
E-MTAB-9148.rpt,colon,28,postnatal week 8
E-MTAB-9180.rpt,intestine smooth muscle,28,postnatal week 8-12
