HSALNG0000014	NONHSAG000012
HSALNG0000041	NONHSAG000047
HSALNG0000042	NONHSAG000049
HSALNG0000078	NONHSAG000070
HSALNG0000121	NONHSAG000082
HSALNG0000343	NONHSAG000195
HSALNG0000950	NONHSAG057513
HSALNG0002248	NONHSAG000910
HSALNG0002269	NONHSAG000920
HSALNG0002269	ENSG00000269967
HSALNG0002284	NONHSAG000925
HSALNG0002298	NONHSAG000936
HSALNG0002318	NONHSAG000945
HSALNG0002319	NONHSAG000946
HSALNG0002928	NONHSAG001180
HSALNG0002931	ENSG00000235358
HSALNG0002931	ENSG00000287400
HSALNG0003387	NONHSAG001368
HSALNG0005094	NONHSAG105444
HSALNG0005948	NONHSAG002367
HSALNG0005948	ENSG00000258634
HSALNG0006796	NONHSAG002728
HSALNG0007053	NONHSAG058128
HSALNG0007524	NONHSAG003084
HSALNG0008110	NONHSAG003320
HSALNG0008218	NONHSAG058244
HSALNG0008545	NONHSAG003504
HSALNG0008703	NONHSAG056992
HSALNG0008839	NONHSAG003633
HSALNG0008839	ENSG00000243155
HSALNG0008840	NONHSAG003635
HSALNG0010860	NONHSAG004393
HSALNG0011024	ENSG00000242861
HSALNG0012240	ENSG00000259865
HSALNG0012240	RP11-488L18.10
HSALNG0012560	NONHSAG026842
HSALNG0012560	ENSG00000236760
HSALNG0012584	NONHSAG026856
HSALNG0013746	NONHSAG027291
HSALNG0014052	NONHSAG027414
HSALNG0014372	ENSG00000231312
HSALNG0015681	NONHSAG077440
HSALNG0015768	NONHSAG028093
HSALNG0015777	NONHSAG028096
HSALNG0015777	AC016700.3
HSALNG0016004	NONHSAG028195
HSALNG0016063	NONHSAG077475
HSALNG0016066	ENSG00000272183
HSALNG0016892	NONHSAG028545
HSALNG0016930	NONHSAG028565
HSALNG0017574	NONHSAG028819
HSALNG0017878	NONHSAG028943
HSALNG0017977	NONHSAG109878
HSALNG0017977	ENSG00000243389
HSALNG0018071	NONHSAG029019
HSALNG0018075	NONHSAG029020
HSALNG0018076	NONHSAG029021
HSALNG0018234	NONHSAG029066
HSALNG0019034	NONHSAG079088
HSALNG0019173	NONHSAG029406
HSALNG0019173	ENSG00000241772
HSALNG0019537	ENSG00000231969
HSALNG0019619	NONHSAG029548
HSALNG0019854	NONHSAG029613
HSALNG0020155	NONHSAG029726
HSALNG0020465	RP11-394I13.2
HSALNG0020713	NONHSAG029956
HSALNG0020716	NONHSAG029957
HSALNG0020716	ENSG00000270277
HSALNG0146274	ENSG00000279598
HSALNG0021072	NONHSAG079299
HSALNG0021192	NONHSAG078058
HSALNG0022288	NONHSAG030538
HSALNG0022914	NONHSAG030757
HSALNG0023737	NONHSAG031060
HSALNG0023842	NONHSAG034303
HSALNG0023943	NONHSAG034340
HSALNG0025276	NONHSAG034818
HSALNG0025747	NONHSAG034973
HSALNG0026555	NONHSAG035319
HSALNG0026902	ENSG00000287398
HSALNG0028877	NONHSAG036047
HSALNG0031241	NONHSAG036859
HSALNG0031357	NONHSAG036900
HSALNG0032220	NONHSAG037242
HSALNG0032220	ENSG00000250259
HSALNG0032437	NONHSAG037335
HSALNG0032699	NONHSAG037420
HSALNG0034258	NONHSAG037889
HSALNG0034870	NONHSAG038080
HSALNG0034870	ENSG00000250075
HSALNG0034874	NONHSAG038081
HSALNG0035423	NONHSAG087631
HSALNG0035699	NONHSAG038380
HSALNG0035974	NONHSAG038480
HSALNG0040551	NONHSAG040038
HSALNG0041075	NONHSAG040162
HSALNG0042734	NONHSAG090265
HSALNG0042910	NONHSAG040813
HSALNG0043238	NONHSAG040927
HSALNG0043612	NONHSAG041056
HSALNG0043632	NONHSAG090370
HSALNG0045147	NONHSAG041659
HSALNG0045304	NONHSAG041723
HSALNG0045320	NONHSAG041731
HSALNG0047039	NONHSAG042404
HSALNG0048035	NONHSAG043004
HSALNG0048836	NONHSAG094052
HSALNG0048836	ENSG00000272468
HSALNG0149117	NONHSAG043306
HSALNG0048982	NONHSAG043318
HSALNG0048982	ENSG00000246350
HSALNG0048983	NONHSAG043316
HSALNG0049010	NONHSAG043329
HSALNG0049088	NONHSAG043371
HSALNG0049635	NONHSAG043637
HSALNG0050136	NONHSAG043796
HSALNG0050136	ENSG00000231113
HSALNG0050231	NONHSAG043833
HSALNG0050253	ENSG00000231881
HSALNG0051162	NONHSAG094269
HSALNG0051701	NONHSAG044279
HSALNG0052540	NONHSAG044533
HSALNG0149229	NONHSAG093513
HSALNG0149229	ENSG00000272356
HSALNG0053423	ENSG00000226149
HSALNG0054407	ENSG00000224893
HSALNG0054672	NONHSAG045257
HSALNG0054673	NONHSAG045258
HSALNG0054674	ENSG00000274023
HSALNG0149570	ENSG00000285730
HSALNG0055481	NONHSAG046706
HSALNG0055653	ENSG00000273230
HSALNG0055994	NONHSAG046888
HSALNG0056000	NONHSAG046890
HSALNG0056038	NONHSAG046903
HSALNG0056956	NONHSAG047237
HSALNG0057093	NONHSAG047292
HSALNG0057178	NONHSAG047319
HSALNG0057326	NONHSAG047383
HSALNG0057562	NONHSAG047454
HSALNG0057566	NONHSAG047456
HSALNG0058192	NONHSAG047626
HSALNG0058201	NONHSAG047631
HSALNG0058518	NONHSAG047806
HSALNG0058624	NONHSAG047858
HSALNG0149694	ENSG00000273142
HSALNG0059099	ENSG00000259628
HSALNG0059170	NONHSAG048073
HSALNG0059995	NONHSAG048353
HSALNG0060188	ENSG00000279168
HSALNG0150054	ENSG00000280347
HSALNG0062348	NONHSAG096783
HSALNG0062348	ENSG00000272661
HSALNG0062427	NONHSAG049200
HSALNG0062595	NONHSAG049254
HSALNG0062595	ENSG00000216895
HSALNG0062824	NONHSAG049328
HSALNG0063968	NONHSAG049754
HSALNG0064081	NONHSAG049789
HSALNG0065534	NONHSAG050299
HSALNG0065534	ENSG00000253322
HSALNG0065869	NONHSAG050405
HSALNG0065926	NONHSAG050423
HSALNG0066975	ENSG00000271971
HSALNG0067340	NONHSAG050910
HSALNG0068084	NONHSAG099082
HSALNG0068084	ENSG00000272502
HSALNG0068484	NONHSAG051260
HSALNG0068816	NONHSAG099774
HSALNG0069193	NONHSAG051454
HSALNG0069312	NONHSAG051510
HSALNG0069313	ENSG00000181097
HSALNG0069439	NONHSAG051568
HSALNG0069439	ENSG00000265393
HSALNG0069655	NONHSAG051652
HSALNG0069754	NONHSAG051694
HSALNG0071023	NONHSAG052155
HSALNG0071146	NONHSAG052204
HSALNG0071195	NONHSAG052234
HSALNG0072707	NONHSAG102135
HSALNG0072707	ENSG00000273381
HSALNG0072889	NONHSAG101507
HSALNG0073049	NONHSAG052959
HSALNG0073741	NONHSAG053205
HSALNG0074752	NONHSAG103172
HSALNG0074982	NONHSAG053685
HSALNG0075159	NONHSAG053761
HSALNG0150752	ENSG00000272679
HSALNG0150752	RP11-216L13.18
HSALNG0075449	NONHSAG053878
HSALNG0076282	NONHSAG005269
HSALNG0076974	NONHSAG005501
HSALNG0077015	NONHSAG005523
HSALNG0077015	ENSG00000259994
HSALNG0077379	NONHSAG005639
HSALNG0142765	ENSG00000254929
HSALNG0077931	NONHSAG005891
HSALNG0142811	ENSG00000288559
HSALNG0078859	ENSG00000272140
HSALNG0078859	RP11-574K11.29
HSALNG0078963	NONHSAG061362
HSALNG0081372	NONHSAG007119
HSALNG0081790	NONHSAG007220
HSALNG0081949	NONHSAG007295
HSALNG0082135	NONHSAG007384
HSALNG0082585	NONHSAG007602
HSALNG0082607	NONHSAG007619
HSALNG0082649	NONHSAG007641
HSALNG0082800	NONHSAG007715
HSALNG0082923	NONHSAG007760
HSALNG0084161	NONHSAG008298
HSALNG0143181	NONHSAG008354
HSALNG0143181	ENSG00000255301
HSALNG0084672	NONHSAG008552
HSALNG0085333	NONHSAG008887
HSALNG0085729	NONHSAG009075
HSALNG0086140	NONHSAG062987
HSALNG0086485	NONHSAG009374
HSALNG0088026	NONHSAG009993
HSALNG0088467	NONHSAG010134
HSALNG0088467	ENSG00000261799
HSALNG0088600	NONHSAG010200
HSALNG0088626	NONHSAG010207
HSALNG0088626	ENSG00000250899
HSALNG0088662	ENSG00000280202
HSALNG0088662	AC005831.1
HSALNG0088972	NONHSAG010366
HSALNG0089135	NONHSAG010438
HSALNG0089165	NONHSAG010456
HSALNG0090194	ENSG00000275097
HSALNG0143622	NONHSAG010965
