identifier,gene_id,symbol
-,-,A130040M12Rik
-,-,AF030089
-,-,AF050659
-,-,AF267752
-,-,AF322224
-,-,AF435963
-,-,AF545831
-,-,AJ437403
-,-,AK081227
-,-,AK087060?
-,-,Alu-RARNA
-,-,AY007691
-,-,AY383714
-,-,B1 RNA
NONMMUNOBEDT076234,NONMMUNOBEDT076234,B2 RNA
-,-,BC063168
-,-,BC064030
-,-,BC085903
-,-,BC088258
-,-,BC088349
-,-,BC090353
-,-,BC094214
-,-,BC097997
-,-,BC099096
-,-,BC099234
NONMMUT062758,NONMMUT062758,BC1
-,-,BC100074
-,-,BC111077
-,-,BC158613
-,-,BC158671
-,-,BC158675
-,-,BC158811
-,-,BC161977
-,-,BC161988
-,-,BC166474
-,-,BC166798
-,-,BC166932
-,-,BC166935
-,-,BC167004
-,-,BC168162
-,-,BC168954
-,-,BC169038
-,-,BC169100
-,-,DQ266361
-,-,DQ359102
-,-,DQ832324
-,-,EF094477
-,-,EF613276
-,-,EF688596
NONMMUT069262,NONMMUT069262,Gomafu
NONMMUG017647,NONMMUG017647,HOTAIR
-,-,L22653
-,-,linc1349
-,-,linc1379
NONMMUG045923,NONMMUG045923,C330013F16Rik
-,-,linc1417
-,-,linc1422
-,-,linc1439
-,-,linc1463
-,-,linc1477
-,-,linc1483
-,-,linc1506
-,-,linc1515
-,-,linc1549
-,-,linc1555
-,-,linc1561
NONMMUG037823,NONMMUG037823,linc1565
-,-,linc1608
-,-,linc1612
-,-,linc1633
-,-,linc-HOXA1
-,-,Mistral
-,-,MRAK005234
-,-,MRAK010087
-,-,MRAK011616
-,-,MRAK012211
-,-,MRAK013532
-,-,MRAK013736
-,-,MRAK014035
-,-,MRAK014638
-,-,MRAK017269
-,-,MRAK017754
-,-,MRAK019982
-,-,MRAK021346
-,-,MRAK028347
-,-,MRAK035295
-,-,MRAK038961
-,-,MRAK040264
-,-,MRAK041468
-,-,MRAK043151
-,-,MRAK045560
-,-,MRAK046848
-,-,MRAK047212
-,-,MRAK049735
-,-,MRAK050417
-,-,MRAK050935
-,-,MRAK053211
-,-,MRAK080234
-,-,MRAK080604
-,-,MRAK082557
-,-,MRAK083513
-,-,MRAK086453
-,-,MRAK131843
-,-,MRAK135044
-,-,MRAK136334
-,-,MRAK143109
-,-,MRAK154943
-,-,MRAK159688
-,-,MRAK163011
-,-,MRAK164152
-,-,MRAK164163
-,-,MRAK164927
-,-,MRAK166199
-,-,MRAK167711
-,-,MRBC019134
-,-,MRBC030402
-,-,MRBC052873
-,-,MRNR_002452
-,-,MRuc007jsx
-,-,MRuc007kvk
-,-,MRuc007nzw
-,-,MRuc007pap
-,-,MRuc007pas
-,-,MRuc008sut
-,-,MRuc008vjw
-,-,MRuc008ymd
-,-,MRuc009dpe
-,-,MRuc009ktv
-,-,MRuc009mni
-,-,MRuc009pdp
-,-,Myheart779
-,-,NR_027324
-,-,S66184
-,-,S74342
-,-,S77494
-,-,S81002
-,-,TERRA
-,-,Tug-1
NONMMUNOBEDT000188,NONMMUNOBEDT000188,U1
NONMMUT012388,NONMMUT012388,U3
NONMMUT058794,NONMMUT058794,U7
-,-,uc.308-
-,-,uc.63-
-,-,X05699
-,-,X93219
-,-,XR_005433
-,-,XR_005513
-,-,XR_005561
-,-,XR_005617
-,-,XR_005636
-,-,XR_005733
-,-,XR_005800
-,-,XR_005868
-,-,XR_006148
-,-,XR_006309
-,-,XR_006612
-,-,XR_006768
-,-,XR_006778
-,-,XR_007040
-,-,XR_007101
-,-,XR_007247
-,-,XR_007265
-,-,XR_007305
-,-,XR_007321
-,-,XR_007355
-,-,XR_007384
-,-,XR_007404
-,-,XR_007454
-,-,XR_007499
-,-,XR_007929
-,-,XR_007959
-,-,XR_008036
-,-,XR_008147
-,-,XR_008295
-,-,XR_008508
-,-,XR_008555
-,-,XR_008741
-,-,XR_008769
-,-,XR_008791
-,-,XR_008876
-,-,XR_008939
-,-,XR_009083
-,-,XR_009151
-,-,XR_009193
-,-,XR_009451
-,-,XR_009582
-,-,0610038F07Rik
-,-,0910001A06Rik
NONMMUG033647,NONMMUG033647,1110008J03Rik
-,-,1110020P15Rik
NONMMUG036778,NONMMUG036778,1190002F15Rik
-,-,1200002N14Rik
NONMMUG029136,NONMMUG029136,1300002K09Rik
-,-,1500001A10Rik
NONMMUG025548,NONMMUG025548,1500012F01Rik
-,-,1700012G19Rik
NONMMUG016287,NONMMUG016287,1700021K19Rik
-,-,1700102J08Rik
-,-,1810015C04Rik
NONMMUG028920,NONMMUG028920,2010003O02Rik
NONMMUG006558,NONMMUG006558,2010012P19Rik
NONMMUG008293,NONMMUG008293,2310003H01Rik
-,-,2310014G06Rik
-,-,2310022M17Rik
-,-,2310039E09Rik
-,-,2310045A20Rik
NONMMUG008099,NONMMUG008099,2310067B10Rik
-,-,2310076L09Rik
-,-,2410014A08Rik
-,-,2410017P07Rik
-,-,2410018C17Rik
NONMMUG042944,NONMMUG042944,2410076I21Rik
-,-,2410127E18Rik
-,-,2410166I05Rik
-,-,2410187C16Rik
NONMMUG016563,NONMMUG016563,2610015P09Rik
-,-,2610019A05Rik
-,-,2610019N06Rik
-,-,2610207I05Rik
-,-,2610209M04Rik
NONMMUG039502,NONMMUG039502,2700050L05Rik
-,-,2810002O09Rik
-,-,2810012G03Rik
-,-,2810485I05Rik
-,-,2900024C23Rik
-,-,2900073G15Rik
-,-,3110050N22Rik
-,-,3300001P08Rik
-,-,3930401K13Rik
-,-,4631426J05Rik
-,-,4921505C17Rik
-,-,4930500O05Rik
-,-,4930528A17Rik
-,-,4930553C11Rik
-,-,4932417H02Rik
-,-,4933407N01Rik
-,-,5033414K04Rik
-,-,5730596K20Rik
-,-,5830404H04Rik
-,-,5830417C01Rik
NONMMUG042165,NONMMUG042165,5830418K08Rik
-,-,5830434P21Rik
-,-,6030408C04Rik
-,-,6030443O07Rik
-,-,6330442E10Rik
-,-,6330500D04Rik
-,-,8030451F13Rik
NONMMUG035927,NONMMUG035927,8430410A17Rik
-,-,8430426H19Rik
-,-,9030205A07Rik
-,-,9030612M13Rik
-,-,9130227C08Rik
-,-,9630058J23Rik
-,-,A030007L17Rik
-,-,A230067G21Rik
-,-,A2bp1
-,-,A430093A21Rik
-,-,A630042L21Rik
-,-,A930008G19Rik
-,-,Aadacl1
NONMMUG027795,NONMMUG027795,NONMMUG027794
-,-,AC087117.1
-,-,AC091681.1
NONMMUG018889,NONMMUG018889,AC098726.1
NONMMUG041301,NONMMUG041301,AC102398.1
-,-,AC103397.2
NONMMUG038192,NONMMUG038192,AC107641.1
NONMMUG037256,NONMMUG037256,AC107704.1
NONMMUG009395,NONMMUG009395,AC108401.2
-,-,AC110186.1
-,-,AC110564.1
-,-,AC114425.1
-,-,AC122015.1
-,-,AC122223.2
-,-,AC123039.1
NONMMUG027996,NONMMUG027996,AC123608.1
-,-,AC123647.1
-,-,AC123935.1
-,-,AC125186.3
-,-,AC125204.2
-,-,AC125254.1
-,-,AC131780.5
-,-,AC131780.9
-,-,AC133199.1
NONMMUG016118,NONMMUG016118,AC133967.1
-,-,AC134246.2
NONMMUG036052,NONMMUG036052,AC136008.1
NONMMUG042596,NONMMUG042596,AC148328.2
-,-,AC152164.3
-,-,AC153356.1
-,-,AC154136.1
NONMMUG027824,NONMMUG027824,AC155158.1
-,-,AC156506.2
-,-,AC156554.1
-,-,AC158301.1
-,-,AC161167.2
-,-,AC161198.2
-,-,AC161503.1
-,-,AC161597.1
NONMMUG013313,NONMMUG013313,AC162936.1
-,-,AC163617.2
-,-,AC166290.1
NONMMUG043679,NONMMUG043679,Acpl2
NONMMUG038550,NONMMUG038550,NONMMUG038549
NONMMUG030707,NONMMUG030707,Adc
-,-,Adfp
NONMMUG006049,NONMMUG006049,Agxt2l2
-,-,AI595366
-,-,AK034233
-,-,AK034994
-,-,AK035306
-,-,AK036286
-,-,AK038753
-,-,AK039256
-,-,AK040443
-,-,AK041352
-,-,AK041859
-,-,AK049993
-,-,AK051417
-,-,AK053286
-,-,AK076660
-,-,AK076734
-,-,AK078684
-,-,AK079047
-,-,AK082843
-,-,AK086793
-,-,AK132670
-,-,AK132727
-,-,AK135736
-,-,AK135893
-,-,AK136218
-,-,AK136608
-,-,AK137218
-,-,AK138921
-,-,AK139724
-,-,AK139796
-,-,AK143102
-,-,AK148632
-,-,AK158858
-,-,Ak3l1
NONMMUG006352,NONMMUG006352,RP23-70A15.5
-,-,Akr1a4
-,-,AL731552.1
-,-,AL928940.1
-,-,Alkbh1/Nrp
-,-,Als2cr13
-,-,Als2cr2
-,-,Ap1gbp1
-,-,Arl6ip2
NONMMUG036987,NONMMUG036987,NONMMUG036984
NONMMUG024206,NONMMUG024206,Atpbd4
-,-,AU021838
-,-,AU040829
-,-,AV249152
-,-,AY172335.14
-,-,AY172335.17
-,-,AY172335.2
-,-,AY172335.21
-,-,AY172335.5
-,-,AY172335.6
-,-,AY172335.7
-,-,AY172335.8
NONMMUG008278,NONMMUG008278,Azi1
-,-,B230339M05Rik
-,-,B230380D07Rik
NONMMUG034421,NONMMUG034421,B3galtl
-,-,B930006L02Rik
-,-,B930094L07Rik
NONMMUG000276,NONMMUG000276,Bai3
-,-,Bat2d
-,-,BC002199
-,-,BC003885
-,-,BC010304
-,-,BC021381
NONMMUG029333,NONMMUG029333,BC026590
NONMMUG025231,NONMMUG025231,NONMMUG025229
-,-,BC031748
-,-,BC033915
-,-,BC043118
NONMMUG037665,NONMMUG037665,BC053749
NONMMUG041130,NONMMUG041130,BC056474
-,-,Btbd14a
NONMMUG037753,NONMMUG037753,C230052I12Rik
NONMMUG037582,NONMMUG037582,C330005M16Rik
-,-,C530043G21Rik
-,-,C920021A13
-,-,Cabc1
-,-,Camsap1l1
-,-,Cbara1
NONMMUG039314,NONMMUG039314,Ccdc101
NONMMUG005609,NONMMUG005609,Ccdc104
NONMMUG040502,NONMMUG040502,Ccdc111
-,-,Ccdc44
NONMMUG018199,NONMMUG018199,NONMMUG018187
NONMMUG041069,NONMMUG041069,Cd97
-,-,Cdc2l5
-,-,Cdc2l6
-,-,Centb2
-,-,Centg2
-,-,Ckap5/Snord67
NONMMUG001238,NONMMUG001238,NONMMUG001237
-,-,CT025619.2
-,-,CT030226.1
-,-,Cugbp1
-,-,Cugbp2
NONMMUG020514,NONMMUG020514,Cyb5
-,-,D12Ertd551e
-,-,D130059P03Rik
-,-,D15Wsu75e
-,-,D1Ertd53e
-,-,D330038O06Rik
-,-,D3Ertd300e
NONMMUG030980,NONMMUG030980,D4Wsu53e
-,-,D5Wsu178e
-,-,D830031N03Rik
-,-,Ddef1
-,-,Depdc2
NONMMUG019724,NONMMUG019724,Diap1
NONMMUG045801,NONMMUG045801,Diap2
-,-,Dmn
NONMMUG002653,NONMMUG002653,Dnahc14
NONMMUG006446,NONMMUG006446,Dnahc9
NONMMUG014969,NONMMUG014969,Dnalc4
NONMMUG004114,NONMMUG004114,Dos
-,-,Dullard
-,-,E030049G20Rik
NONMMUG029217,NONMMUG029217,E130309F12Rik
NONMMUG015355,NONMMUG015355,E330033B04Rik
-,-,E430002G05Rik
NONMMUG039645,NONMMUG039645,Efcab4a
-,-,EG628596
-,-,Eif1ay
NONMMUG028245,NONMMUG028245,Eltd1
ENSMUSG00000053512,ENSMUSG00000053512,ENSMUSG00000053512
ENSMUSG00000074747,ENSMUSG00000074747,ENSMUSG00000074747
ENSMUSG00000076828,ENSMUSG00000076828,ENSMUSG00000076828
ENSMUSG00000076845,ENSMUSG00000076845,ENSMUSG00000076845
ENSMUSG00000079640,ENSMUSG00000079640,ENSMUSG00000079640
ENSMUSG00000090526,ENSMUSG00000090526,ENSMUSG00000090526
NONMMUG033365,NONMMUG033365,NONMMUG033359
NONMMUG025267,NONMMUG025267,Epb4.1l1
NONMMUG029347,NONMMUG029347,Epb4.1l4b
-,-,Epb401l1
-,-,Epb401l5
-,-,Evi1
-,-,F830002L21Rik
NONMMUG035168,NONMMUG035168,Fam115a
-,-,Fbxl11
-,-,Frap1
-,-,Freq
-,-,Ftl2
-,-,Fusip1
-,-,Garnl1
-,-,Garnl4
-,-,Gats
NONMMUG031611,NONMMUG031611,Gltpd1
-,-,Gm10294
NONMMUG040725,NONMMUG040725,Gm10664
NONMMUG023465,NONMMUG023465,Gm13659
NONMMUG034909,NONMMUG034909,Gm13847
NONMMUG015970,NONMMUG015970,Gm15797
NONMMUG034569,NONMMUG034569,Gm16039
-,-,Gm16460
NONMMUG006318,NONMMUG006318,Gm16515
NONMMUG018065,NONMMUG018065,AK133808
-,-,Gm3515
-,-,Gm3925
-,-,Gm7455
NONMMUG004407,NONMMUG004407,Gm872
-,-,Gm879
-,-,Gm944
-,-,Gm967
-,-,Gpr120
-,-,Gpr177
NONMMUG046237,NONMMUG046237,Gpr64
NONMMUG011483,NONMMUG011483,Gpr98
-,-,Gpsn2
-,-,Grinl1a
-,-,Gtlf3b
NONMMUG045292,NONMMUG045292,Gyk
NONMMUG018082,NONMMUG018082,H2-Ke2
-,-,Hisppd2a
-,-,Hist3h2bb
-,-,Hmgb2l1
NONMMUG033091,NONMMUG033091,Hnrpdl
-,-,Hprt1
-,-,Hrasls3
-,-,Ifrg15
-,-,Igh-VJ558
-,-,Ihpk1
