Tceb1,Eloc
Arntl,Bmal1
H2afz,H2az1
Inadl,Patj
Erbb2ip,Erbin
Tceb3,Eloa
Zfp191,Zfp24
Hist4h4,H4c16
Skp1a,Skp1
H2afx,H2af
Pdzd3,Nherf4
Slc9a3r1,Nherf1
Slc9a3r2,Nherf2
Pea15b,Pea15b-ps
Suv420h2,Kmt5c
Suv420h1,Kmt5b
Mesdc2,Mesd
Shfm1,Sem1
H1fnt,H1f7
Diap2,Diaph2
Adrbk1,Grk2
Lppr4,Plppr4
H2afy,Macroh2a3
D8Ertd82e,Prag1
Hist1h1e,H1f4
Gpr98,Adgrv1
Hist2h2be,H2bc21
Hist2h4,H4c14
Whsc1,Nsd2
Epb4.1l1,Epb41l1
Ufd1l,Ufd1
Hspb11,Ift25
Grasp,Tamalin
Fam175b,Abraxas2
Vpreb1,Vpreb1a
Sept4,Septin4
Csrp2bp,Kat14
AI464131,Myorg
Cyhr1,Zftraf1
Sept5,Septin5
Sept2,Septin2
Sept7,Septin7
Adssl1,Adss1
Mllt4,Afdn
Rqcd1,Cnot9
Gcn1l1,Gcn1
Stra13,Bhlhe40
Fert2,Fer
AF251705,Cd300c2
Stxbp3a,Stxbp3
E130012A19Rik,Epop
Scn2a1,Scn2a
March5,Marchf5
Mpp5,Pals1
Ndnl2,Nsmce3
Fam65b,Ripor2
Lilrb4,Lilrb4b
Tmem194,Nemp1
Hist2h2aa1,H2ac18
Pvrl4,Nectin4
Fyb,Fyb1
Fam92a,Cibar1
1600002H07Rik,Tedc2
Hfe2,Hjv
Hist1h1d,H1f3
Gm6484,Angptl8
4930506M07Rik,Shtn1
C330021F23Rik,Rps23rg1
C730029A08Rik,Paqr9
Tmem173,Sting1
Mnda,Ifi211
AI481877,Shoc1
Wash,Washc1
Gnb2l1,Rack1
Nupl1,Nup58
A830010M20Rik,Btbd8
Wdyhv1,Ntaq1
Sept3,Septin3
Wars,Wars1
Adss,Adss1
Trove2,Ro60
Lars,Lars1
AK010878,Gon7
Hist1h1c,H1f2
Sepp1,Selenop
Rab1,Rab1a
2700094K13Rik,Selenoh
Aars,Aars1
Asna1,Get3
Ict1,Mrpl58
Atp5f1,Atp5pb
Sars,Sars1
Tsta3,Gfus
Lppr3,Plppr3
Atp5a1,Atp5f1a
Epb4.1l2,Epb41l2
Ero1l,Ero1a
Atp5e,Atp5f1e
Atp5k,Atp5me
Atp5j,Atp5pf
Fam192a,Psme3ip1
Atp5b,Atp5f1b
2700060E02Rik,Rtraf
Spg20,Spart
Epb4.1,Epb41
Gba,Gba1
Rars,Rars1
Epb4.1l3,Epb41l3
Ppp2r4,Ptpa
Nrd1,Nrdc
2410127L17Rik,Carnmt1
Atpif1,Atp5if1
Hist1h1a,H1f1
Hist2h2ac,H2ac20
Hist1h2ah,H2ac12
Eprs,Eprs1
Tceb2,Elob
Trp53rk,Trp53rkb
Mpp6,Pals2
Hprt,Hprt1
Ptrf,Cavin1
Atp5j2,Atp5mf
Usmg5,Atp5mk
Atp5d,Atp5f1d
Atp5c1,Atp5f1c
Atp5l,Atp5mg
Fam49b,Cyrib
Atp5h,Atp5pd
3110002H16Rik,Rmc1
Ric8,Ric8a
Fam195b,Mcrip1
Sept8,Septin8
Hars,Hars1
Ptplad1,Hacd3
Sept6,Septin6
Sept9,Septin9
Sept11,Septin11
Zadh2,Ptgr3
Mars,Mars1
1110008L16Rik,Prorp
2310035C23Rik,Relch
Hn1,Jpt1
Rltpr,Carmil2
ATP8,mt-Atp8
Atp5s,Dmac2l
Atp5o,Atp5po
Gucy1b3,Gucy1b1
Gars,Gars1
Kars,Kars1
8030462N17Rik,Ark2n
Prune,Prune1
Tars,Tars1
Hdgfrp2,Hdgfl2
Ddx39,Ddx39a
Wdr61,Skic8
Fam126b,Hycc2
Fam96b,Ciao2b
Tssc1,Eipr1
Adrbk2,Grk3
Rnmtl1,Mrm3
Gyg,Gyg1
Smek1,Ppp4r3a
Dars,Dars1
Dak,Tkfc
Narfl,Ciao3
Cars,Cars1
Fam213b,Prxl2b
Skiv2l2,Mtrex
1700037H04Rik,Adissp
Wdr92,Dnaaf10
Pycrl,Pycr3
AI314180,Ecpas
Fam103a1,Ramac
Nars,Nars1
Eftud1,Efl1
1700021F05Rik,Mtres1
Tarsl2,Tars3
Obfc1,Stn1
Ctps,Ctps1
Diexf,Utp25
D2Wsu81e,Spout1
Utp11l,Utp11
Btbd11,Abtb3
Acn9,Sdhaf3
Fam65a,Ripor1
Bai1,Adgrb1
Lphn1,Adgrl1
Qtrtd1,Qtrt2
Iqca,Iqca1
Vprbp,Dcaf1
A230046K03Rik,Washc4
2510003E04Rik,Kifbp
Fam21,Washc2
E430025E21Rik,Washc5
4931428F04Rik,Matcap1
1110008P14Rik,Bbln
Pydc3,Ifi208
Zcchc11,Tut4
Acpp,Acp3
1110037F02Rik,Virma
4932438A13Rik,Bltp1
Rgag1,Rtl9
Ccdc114,Odad1
Casc1,Dnai7
Diap1,Diaph1
Sgol2,Sgo2a
Sgol1,Sgo1
Apitd1,Cenps
Fam179a,Togaram2
Uhrf1bp1l,Bltp3b
2610002M06Rik,Chmp1b2
Ttc30a2,Ift70a2
Gif,Cblif
Lphn2,Adgrl2
2310036O22Rik,Trir
2700029M09Rik,Hpf1
Wdr34,Dync2i2
Fam214b,Atosb
Epb4.1l4a,Epb41l4a
Wbscr22,Bud23
Mettl10,Eef1akmt2
Dusp27,Styxl2
4932418E24Rik,Ccdc187
Ptchd2,Disp3
Gareml,Garem2
Zfml,Zfp638
Lphn3,Adgrl3
9430020K01Rik,Jcad
AK129341,Cep126
Ctgf,Ccn2
B3gnt1,B4gat1
Fam207a,Slx9
Fam208a,Tasor
1200014J11Rik,Ncbp3
Mgea5,Oga
Ttc26,Ift56
Cyr61,Ccn1
Bai2,Adgrb2
Ccdc37,Cfap100
Pvrl2,Nectin2
Sepn1,Selenon
Mtap7d3,Map7d3
Lrrc16b,Carmil3
Zufsp,Zup1
Tprgl,Tprg1l
Fopnl,Cep20
2810403A07Rik,Khdc4
