gene_name,gene_id,identifier,protein,uniprot_id
A130040M12Rik,-,A130040M12Rik,Sfpq,P23246
AF030089,-,AF030089,Sin3A,Q96ST3
AF050659,-,AF050659,Sin3A,Q96ST3
AF267752,-,AF267752,coREST,Q8VIG1
AF322224,-,AF322224,coREST,Q8VIG1
AF435963,-,AF435963,coREST,Q8VIG1
AF545831,-,AF545831,Sin3A,Q96ST3
AJ437403,-,AJ437403,coREST,Q8VIG1
AK081227,-,AK081227,MeCP2,P51608
AK087060?,-,AK087060?,MeCP2,P51608
Alu-RARNA,-,Alu-RARNA,PolII,-
AY007691,-,AY007691,coREST,Q8VIG1
AY383714,-,AY383714,Sin3A,Q96ST3
B1 RNA,-,B1 RNA,PolII,-
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,PolII,-
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,RPB2,B2WTN8
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,RPB1,P08775
BC063168,-,BC063168,coREST,Q8VIG1
BC063168,-,BC063168,Sin3A,Q96ST3
BC064030,-,BC064030,Sin3A,Q96ST3
BC085903,-,BC085903,Sin3A,Q96ST3
BC088258,-,BC088258,Sin3A,Q96ST3
BC088349,-,BC088349,Sin3A,Q96ST3
BC090353,-,BC090353,Sin3A,Q96ST3
BC094214,-,BC094214,Sin3A,Q96ST3
BC094214,-,BC094214,coREST,Q8VIG1
BC097997,-,BC097997,coREST,Q8VIG1
BC099096,-,BC099096,coREST,Q8VIG1
BC099234,-,BC099234,coREST,Q8VIG1
BC1,NONMMUT062758,NONMMUT062758,PABP,-
BC1,NONMMUT062758,NONMMUT062758,p190RhoGEF,P97433
BC1,NONMMUT062758,NONMMUT062758,FMRP,Q7Z417
BC100074,-,BC100074,Sin3A,Q96ST3
BC111077,-,BC111077,coREST,Q8VIG1
BC158613,-,BC158613,coREST,Q8VIG1
BC158671,-,BC158671,Sin3A,Q96ST3
BC158671,-,BC158671,coREST,Q8VIG1
BC158675,-,BC158675,Sin3A,Q96ST3
BC158675,-,BC158675,coREST,Q8VIG1
BC158811,-,BC158811,Sin3A,Q96ST3
BC161977,-,BC161977,coREST,Q8VIG1
BC161988,-,BC161988,Sin3A,Q96ST3
BC166474,-,BC166474,Sin3A,Q96ST3
BC166798,-,BC166798,Sin3A,Q96ST3
BC166932,-,BC166932,Sin3A,Q96ST3
BC166935,-,BC166935,Sin3A,Q96ST3
BC167004,-,BC167004,Sin3A,Q96ST3
BC168162,-,BC168162,coREST,Q8VIG1
BC168954,-,BC168954,Sin3A,Q96ST3
BC169038,-,BC169038,Sin3A,Q96ST3
BC169100,-,BC169100,coREST,Q8VIG1
DQ266361,-,DQ266361,Sin3A,Q96ST3
DQ359102,-,DQ359102,Sin3A,Q96ST3
DQ832324,-,DQ832324,coREST,Q8VIG1
EF094477,-,EF094477,Sin3A,Q96ST3
EF613276,-,EF613276,coREST,Q8VIG1
EF688596,-,EF688596,coREST,Q8VIG1
Fendrr,NONMMUG041781,NONMMUG041781,WDR5,P61964
Fendrr,NONMMUG041781,NONMMUG041781,Ezh2,Q15910
Fendrr,NONMMUG041781,NONMMUG041781,SUZ12,Q15022
Gomafu,NONMMUT069262,NONMMUT069262,SF1,A0A024R5D9
H19,NONMMUG039673,NONMMUG039673,MBD1,Q9Z2E2
H19,NONMMUG039673,NONMMUG039673,MeCP2,P51608
HOTAIR,NONMMUG017647,NONMMUG017647,PRC2,-
Kcnq1ot1,NONMMUG039685,NONMMUG039685,CTCF,NM_001191022
Kcnq1ot1,NONMMUG039685,NONMMUG039685,Dnmt1,P26358
Kcnq1ot1,NONMMUG039685,NONMMUG039685,Ezh2,Q15910
Kcnq1ot1,NONMMUG039685,NONMMUG039685,PRC2,-
Kcnq1ot1,NONMMUG039685,NONMMUG039685,PRC1,G3UXT4
Kcnq1ot1,NONMMUG039685,NONMMUG039685,G9a,Q9Z148
L22653,-,L22653,coREST,Q8VIG1
linc1239,NONMMUG002214,NONMMUG002214,CBX3,Q13185
Gm11974,NONMMUG005256,NONMMUG005256,SUV39H1,A2AC19
Gm11974,NONMMUG005256,NONMMUG005256,SETD8,Q9NQR1
Gm11974,NONMMUG005256,NONMMUG005256,CBX1,P83916
Gm11974,NONMMUG005256,NONMMUG005256,PRC2,-
Gm11974,NONMMUG005256,NONMMUG005256,JARID1B,Q8VCQ4
Gm11974,NONMMUG005256,NONMMUG005256,RING1B,Q9CQJ4
Gm16516,NONMMUG006319,NONMMUG006319,CBX3,Q13185
Gm16516,NONMMUG006319,NONMMUG006319,ESET,O88974
Gm16516,NONMMUG006319,NONMMUG006319,CBX1,P83916
Gm16516,NONMMUG006319,NONMMUG006319,PRC2,-
Gm16516,NONMMUG006319,NONMMUG006319,JARID1B,Q8VCQ4
Gm16516,NONMMUG006319,NONMMUG006319,RING1B,Q9CQJ4
3110056K07Rik,NONMMUG009216,NONMMUG009216,ESET,O88974
3110056K07Rik,NONMMUG009216,NONMMUG009216,PRC2,-
3110056K07Rik,NONMMUG009216,NONMMUG009216,JARID1B,Q8VCQ4
3110056K07Rik,NONMMUG009216,NONMMUG009216,RING1B,Q9CQJ4
Gm2373,NONMMUG011683,NONMMUG011683,HDAC1,O09106
