lncRNA_ID,gene_id,symbol,chr,start,end,strand
lENSG00000261305,-,AC005586.2,chr7,150337482,150343346,+
lAC007277.3,NONHSAG029787,AC007277.3,chr2,170640373,170695374,-
lNONHSAG048832,NONHSAG048832,AC009518.4,chr7,131897640,132145151,+
lLINC00669,-,AC016205.1,chr18,39206923,39800318,-
lNONHSAG025029,-,AC020911.1,chr19,16186275,16189458,-
lAC025171.1,NONHSAG040299,AC025171.1,chr5,43013059,43067452,-
lNONHSAG027686,NONHSAG027686,AC073283.4,chr2,47192404,47345157,-
lNONHSAG027951,NONHSAG027951,AC074289.1,chr2,64143238,64252860,+
lENSG00000286330,-,AL353660.1,chr13,74288069,74408810,+
lAL354696.2,-,AL354696.2,chr13,41132938,41236686,+
lENSG00000247287,-,AL359220.1,chr14,61294908,61322838,-
lENSG00000273192,-,AL671710.1,chr22,49902227,49904576,+
lNONHSAG018621,NONHSAG018621,BCAR4,chr16,11818292,11828845,-
lNONHSAG027692,NONHSAG027692,BCYRN1,chr2,47325857,47344517,+
lCDKN2B-AS1,NONHSAG051899,CDKN2B-AS1,chr9,21994138,22212895,+
lNONHSAG036523,NONHSAG036523,CTD-2049J23.2,chr3,159912039,160226673,-
lHSALNG0008545,NONHSAG003504,GAS5,chr1,173851284,173869006,-
lNONHSAG007409,NONHSAG007409,h19,chr11,1995129,2001710,-
lENSG00000278970,-,HEIH,chr5,180824603,180861858,-
lNONHSAG011264,NONHSAG011264,HOTAIR,chr12,53962307,53974957,-
lNONHSAG047197,NONHSAG047197,HOTTIP,chr7,27198574,27207260,+
lNONHSAG036615,NONHSAG036615,hTR,chr3,169764462,169765060,-
lNONHSAG042970,NONHSAG042970,HULC,chr6,8652137,8657428,+
lNONHSAG008675,NONHSAG008675,MALAT1,chr11,65496266,65509085,+
lNONHSAG008670,NONHSAG008670,NEAT1,chr11,65416581,65450093,+
lPVT1,NONHSAG051258,PVT1,chr8,127794512,128188202,+
lNONHSAG052119,NONHSAG052119,RMRP,chr9,35657750,35658018,-
lNONHSAG044006,NONHSAG044006,RP11-203B9.4,chr6,57114893,57174236,-
lNONHSAG052726,NONHSAG052726,RP11-276H19.1,chr9,86948043,87003459,+
lRP11-554F20.1,NONHSAG053032,RP11-554F20.1,chr9,99585785,99819889,-
