lncRNA_ID,gene_id,symbol,chr,start,end,strand
lNONMMUG039673,NONMMUG039673,H19,chr7,142575529,142578146,-
lNONMMUG039685,NONMMUG039685,Kcnq1ot1,chr7,143212154,143298451,-
lNONMMUG005256,NONMMUG005256,Gm11974,chr11,6524541,6528813,-
lNONMMUG006319,NONMMUG006319,Gm16516,chr11,60920811,60931924,-
lNONMMUG009216,NONMMUG009216,3110056K07Rik,chr12,70990370,71015833,-
lNONMMUG011683,NONMMUG011683,Gm2373,chr13,97434969,97583996,+
lNONMMUG013483,NONMMUG013483,linc1288,chr14,76515876,76530770,+
lNONMMUG020673,NONMMUG020673,linc1317,chr19,5824551,5845878,-
lNONMMUG027202,NONMMUG027202,linc1335,chr3,93306467,93465359,-
lNONMMUG030867,NONMMUG030867,linc1343,chr4,132348013,132353686,-
lNONMMUG033102,NONMMUG033102,5430416N02Rik,chr5,100420770,100429535,-
lNONMMUG039373,NONMMUG039373,linc1388,chr7,127657061,127658234,-
lNONMMUG041273,NONMMUG041273,4933436C20Rik,chr8,92326030,92356120,-
lNONMMUG045607,NONMMUG045607,5530601H04Rik,chrX,105037027,105079610,-
lNONMMUG001887,NONMMUG001887,linc1423,chr1,136692802,136726142,+
lNONMMUG007314,NONMMUG007314,NONMMUG007313,chr11,94133458,94155777,+
lNONMMUG009968,NONMMUG009968,linc1458,chr12,109603842,109661716,+
lNONMMUG014644,NONMMUG014644,linc1476,chr15,62037892,62378097,+
lNONMMUG015541,NONMMUG015541,AC163291.1,chr15,102270563,102278313,+
lNONMMUG016035,NONMMUG016035,1300002E11Rik,chr16,21794317,21809047,+
lNONMMUG020081,NONMMUG020081,linc1500,chr18,61624194,61649537,+
lNONMMUG031941,NONMMUG031941,AC117663.1,chr5,23850596,23855038,+
lNONMMUG035346,NONMMUG035346,Gm15051,chr6,52146716,52162283,+
lNONMMUG038526,NONMMUG038526,2900076A07Rik,chr7,81523538,81531606,+
lNONMMUG040640,NONMMUG040640,AC130841.1,chr8,57487962,57510262,+
lNONMMUG041226,NONMMUG041226,linc1583,chr8,89041308,89070952,+
lNONMMUG004979,NONMMUG004979,linc1597,chr10,127070374,127074796,+
lNONMMUG019605,NONMMUG019605,2410004N09Rik,chr18,33794303,33796130,+
lNONMMUG041483,NONMMUG041483,linc1634,chr8,106135055,106138722,+
lNONMMUG041158,NONMMUG041158,mrhl,chr8,85994243,85996662,+
lNONMMUG067345,NONMMUG067345,Tmem14c,chr2,110388449,110396345,+
lNONMMUG045569,NONMMUG045569,Xist,chrX,103460372,103483233,-
lNONMMUG037997,NONMMUG037997,0610005C13Rik,chr7,45567791,45576004,-
lNONMMUG019126,NONMMUG019126,0610012D04Rik,chr17,87362238,87364463,-
lNONMMUG036234,NONMMUG036234,0610040F04Rik,chr6,108577035,108660935,-
lNONMMUG029984,NONMMUG029984,0610043K17Rik,chr4,101353782,101404589,+
lNONMMUG035068,NONMMUG035068,1110001J03Rik,chr6,38532578,38533880,+
lNONMMUG025552,NONMMUG025552,1110018N20Rik,chr2,167188658,167192809,+
lNONMMUG018153,NONMMUG018153,1110038B12Rik,chr17,34948537,34952525,-
lNONMMUG023778,NONMMUG023778,1110051M20Rik,chr2,91443125,91444667,-
lNONMMUG007059,NONMMUG007059,1500016L03Rik,chr11,84524711,84535832,+
lNONMMUG019422,NONMMUG019422,1700001G01Rik,chr18,17019050,17137559,+
lNONMMUG004706,NONMMUG004706,1700010J16Rik,chr10,112726786,112786102,+
lNONMMUG023398,NONMMUG023398,1700011J10Rik,chr2,72978971,72989229,+
lNONMMUG006735,NONMMUG006735,1700016P03Rik,chr11,75172422,75179489,+
lNONMMUG024327,NONMMUG024327,1700020I14Rik,chr2,119593921,119607721,+
lNONMMUG031445,NONMMUG031445,1700045H11Rik,chr4,150828224,150855077,-
lNONMMUG021591,NONMMUG021591,1700054A03Rik,chr19,53076217,53084396,+
lNONMMUG030564,NONMMUG030564,1700057H15Rik,chr4,124412657,124485960,-
lNONMMUG006542,NONMMUG006542,1700064E03Rik,chr11,69398530,69402830,+
lNONMMUG042236,NONMMUG042236,1700084C06Rik,chr9,21091754,21128787,+
lNONMMUG038993,NONMMUG038993,1700095J03Rik,chr7,109438617,109461497,+
lNONMMUG023451,NONMMUG023451,1700109F18Rik,chr2,74703247,74716170,-
lNONMMUG045058,NONMMUG045058,1700111N16Rik,chrX,69929258,70143588,-
lNONMMUG028536,NONMMUG028536,1700123M08Rik,chr4,11966565,11995025,+
lNONMMUG028494,NONMMUG028494,1700123O12Rik,chr4,10479961,10797812,-
lNONMMUG038355,NONMMUG038355,1810026B05Rik,chr7,73539202,73561696,-
lNONMMUG035002,NONMMUG035002,1810058I24Rik,chr6,35252653,35263496,+
lNONMMUG044429,NONMMUG044429,2010204K13Rik,chrX,7386777,7445144,-
lNONMMUG046159,NONMMUG046159,2210013O21Rik,chrX,153723608,153741297,+
lNONMMUG034337,NONMMUG034337,2210019I11Rik,chr5,147228595,147271521,-
lNONMMUG034895,NONMMUG034895,2210408F21Rik,chr6,31219938,31342095,+
lNONMMUG006241,NONMMUG006241,2310058D17Rik,chr11,58965747,58978051,-
lNONMMUG037901,NONMMUG037901,2410002F23Rik,chr7,44246725,44262785,+
lNONMMUG007476,NONMMUG007476,2410003L11Rik,chr11,97583754,97623913,+
lNONMMUG007721,NONMMUG007721,2410004I01Rik,chr11,102958299,102964388,-
lNONMMUG006378,NONMMUG006378,2410006H16Rik,chr11,62602876,62604808,+
lNONMMUG021018,NONMMUG021018,2410080I02Rik,chr19,23134899,23135718,+
lNONMMUG033549,NONMMUG033549,2410137F16Rik,chr5,116433253,116465488,+
lNONMMUG031574,NONMMUG031574,2610002J02Rik,chr4,155249972,155256677,+
lNONMMUG000504,NONMMUG000504,2610017I09Rik,chr1,42587013,42694842,-
lNONMMUG017729,NONMMUG017729,2610019E17Rik,chr17,24528228,24528817,+
lNONMMUG030610,NONMMUG030610,2610028E06Rik,chr4,125887850,125922418,-
lNONMMUG008008,NONMMUG008008,2610035D17Rik,chr11,113043883,113201839,-
lNONMMUG013891,NONMMUG013891,2610035F20Rik,chr14,122470283,122475199,-
lNONMMUG026124,NONMMUG026124,2610100L16Rik,chr3,17789920,17800073,+
lNONMMUG038594,NONMMUG038594,2610206C17Rik,chr7,84689639,84779053,+
lNONMMUG010559,NONMMUG010559,2610307P16Rik,chr13,28460033,28885422,-
lNONMMUG023892,NONMMUG023892,2810002D19Rik,chr2,94406151,94419066,+
lNONMMUG008177,NONMMUG008177,2810008D09Rik,chr11,117076531,117078956,+
lNONMMUG016963,NONMMUG016963,2810055G20Rik,chr16,77236316,77691403,+
lNONMMUG045662,NONMMUG045662,2810403D21Rik,chrX,108833799,108977903,+
lNONMMUG000865,NONMMUG000865,2810408I11Rik,chr1,64679868,64690660,-
lNONMMUG008285,NONMMUG008285,2810410L24Rik,chr11,120182622,120189960,-
lNONMMUG007704,NONMMUG007704,2810433D01Rik,chr11,102619796,102624417,-
lNONMMUG005359,NONMMUG005359,2810442I21Rik,chr11,16934836,16951283,-
lNONMMUG041897,NONMMUG041897,2810455O05Rik,chr8,123838552,123840786,-
lNONMMUG044520,NONMMUG044520,2900008C10Rik,chrX,12130988,12160347,-
lNONMMUG008201,NONMMUG008201,2900041M22Rik,chr11,117611246,117613858,+
lNONMMUG008287,NONMMUG008287,2900052L18Rik,chr11,120226802,120231586,-
lNONMMUG005371,NONMMUG005371,2900053O20Rik,chr11,17953577,17988609,+
lNONMMUG046140,NONMMUG046140,2900056M20Rik,chrX,152297648,152327489,-
lNONMMUG025262,NONMMUG025262,2900097C17Rik,chr2,156388062,156393048,-
lNONMMUG046145,NONMMUG046145,3010001F23Rik,chrX,152368571,152416702,+
