lncRNA_ID,gene_id,symbol,chr,start,end,strand
lNONHSAG014875,NONHSAG014875,7SL,chr14,49586577,49586878,+
lENSG00000261305,-,AC005586.2,chr7,150337482,150343346,+
lNONHSAG048832,NONHSAG048832,AC009518.4,chr7,131897640,132145151,+
lLINC00669,-,AC016205.1,chr18,39206923,39800318,-
lAC025171.1,NONHSAG040299,AC025171.1,chr5,43013059,43067452,-
lNONHSAG027686,NONHSAG027686,AC073283.4,chr2,47192404,47345157,-
lNONHSAG027951,NONHSAG027951,AC074289.1,chr2,64143238,64252860,+
lAL354696.2,-,AL354696.2,chr13,41132938,41236686,+
lENSG00000247287,-,AL359220.1,chr14,61294908,61322838,-
lENSG00000273192,-,AL671710.1,chr22,49902227,49904576,+
lCDKN2B-AS1,NONHSAG051899,CDKN2B-AS1,chr9,21994138,22212895,+
lNONHSAG036523,NONHSAG036523,CTD-2049J23.2,chr3,159912039,160226673,-
lHSALNG0008545,NONHSAG003504,GAS5,chr1,173851284,173869006,-
lNONHSAG007409,NONHSAG007409,h19,chr11,1995129,2001710,-
lENSG00000278970,-,HEIH,chr5,180824603,180861858,-
lNONHSAG011264,NONHSAG011264,HOTAIR,chr12,53962307,53974957,-
lNONHSAG047197,NONHSAG047197,HOTTIP,chr7,27198574,27207260,+
lNONHSAG036615,NONHSAG036615,hTR,chr3,169764462,169765060,-
lNONHSAG008675,NONHSAG008675,MALAT1,chr11,65496266,65509085,+
lNONHSAG008670,NONHSAG008670,NEAT1,chr11,65416581,65450093,+
lNONHSAG053456,NONHSAG053456,NRON,chr9,126407773,126410504,-
lPVT1,NONHSAG051258,PVT1,chr8,127794512,128188202,+
lNONHSAG052119,NONHSAG052119,RMRP,chr9,35657750,35658018,-
lNONHSAG044006,NONHSAG044006,RP11-203B9.4,chr6,57114893,57174236,-
lNONHSAG052726,NONHSAG052726,RP11-276H19.1,chr9,86948043,87003459,+
lRP11-554F20.1,NONHSAG053032,RP11-554F20.1,chr9,99585785,99819889,-
lNONHSAG038486,NONHSAG038486,RP11-696N14.1,chr4,99088856,99301569,+
lNONHSAG009415,NONHSAG009415,RP11-712B9.2,chr11,95150538,95234404,+
lNONHSAG012484,NONHSAG012484,RP11-768F21.1,chr12,119387986,119668080,-
lRP5-1043L13.1,NONHSAG032186,RP5-1043L13.1,chr20,60087839,60527458,+
lCASC7,NONHSAG051400,CASC7,chr8,140520155,140529501,-
lHSALNG0071023,NONHSAG052155,LOC100506710,chr9,37069874,37130797,+
lRP11-2B6.3,NONHSAG052890,RP11-2B6.3,chr9,94166288,94200627,+
lNONHSAG033691,NONHSAG033691,TUG1,chr22,30969157,30985225,+
lNONHSAG053892,NONHSAG053892,MT-RNR2,chrM,3317,15887,+
lNONHSAG053895,NONHSAG053895,NONHSAG053895,chrM,11694,11952,+
lNONHSAG053897,NONHSAG053897,NONHSAG053897,chrM,15997,16569,+
lNONHSAG054780,NONHSAG054780,XIST,chrX,73817774,73852754,-
lENSG00000225470,NONHSAG054784,JPX,chrX,73943933,74070423,+
lNONHSAG000648,NONHSAG000648,RP5-1057J7.6,chr1,23279808,23309635,-
lNONHSAG003512,NONHSAG003512,RC3H1-IT1,chr1,174009266,174017641,-
lMIR181A1HG,NONHSAG003880,MIR181A1HG,chr1,198739202,198937683,-
lNONHSAG004868,NONHSAG004868,NONHSAG004866,chr1,244840242,244857076,-
lNONHSAG023683,NONHSAG023683,ZNF271,chr18,35290271,35322424,+
lNONHSAG005455,NONHSAG005455,LINC00202-1,chr10,26931205,26944780,-
lNONHSAG049868,NONHSAG049868,CTD-2647L4.4,chr8,29055934,29064928,+
lNONHSAG005548,NONHSAG005548,ZEB1-AS1,chr10,31166834,31320774,-
lNONHSAG005688,NONHSAG005688,ZNF37BP,chr10,42513512,42552832,-
lNUTM2A-AS1,NONHSAG006435,NUTM2A-AS1,chr10,87189001,87342612,-
lNONHSAG041905,NONHSAG041905,CTB-89H12.4,chr5,149493385,149513629,-
lNONHSAG007695,NONHSAG007695,LINC00958,chr11,12930481,12989549,-
lHSALNG0084672,NONHSAG008552,SNHG1,chr11,62851873,62856011,-
lNONHSAG009222,NONHSAG009222,RAB30-AS1,chr11,83072065,83106719,+
lNONHSAG027476,NONHSAG027476,AC007390.5,chr2,37196491,37204743,+
lNONHSAG011425,NONHSAG011425,NONHSAG011425,chr12,57310326,57430794,-
lNONHSAG011893,NONHSAG011893,C12orf79,chr12,91974185,92142914,-
lNONHSAG012566,NONHSAG012566,NONHSAG012566,chr12,122063348,122078514,+
lNONHSAG013515,NONHSAG013515,NONHSAG013514,chr13,49912705,50125541,-
lHSALNG0104483,NONHSAG016264,HERC2P2,chr15,22498064,22592025,+
lNONHSAG013524,NONHSAG013524,DLEU1,chr13,50082168,50533860,+
