lncRNA_ID,gene_id,symbol,chr,start,end,strand
lNONMMUG039685,NONMMUG039685,Kcnq1ot1,chr7,143212154,143298451,-
lNONMMUG005256,NONMMUG005256,Gm11974,chr11,6524541,6528813,-
lNONMMUG006319,NONMMUG006319,Gm16516,chr11,60920811,60931924,-
lNONMMUG009216,NONMMUG009216,3110056K07Rik,chr12,70990370,71015833,-
lNONMMUG011683,NONMMUG011683,Gm2373,chr13,97434969,97583996,+
lNONMMUG015092,NONMMUG015092,1700001L05Rik,chr15,83353645,83370107,-
lNONMMUG020673,NONMMUG020673,linc1317,chr19,5824551,5845878,-
lNONMMUG027202,NONMMUG027202,linc1335,chr3,93306467,93465359,-
lNONMMUG030867,NONMMUG030867,linc1343,chr4,132348013,132353686,-
lNONMMUG033102,NONMMUG033102,5430416N02Rik,chr5,100420770,100429535,-
lNONMMUG037865,NONMMUG037865,linc1382,chr7,42481306,42482336,-
lNONMMUG041273,NONMMUG041273,4933436C20Rik,chr8,92326030,92356120,-
lNONMMUG045607,NONMMUG045607,5530601H04Rik,chrX,105037027,105079610,-
lNONMMUG007314,NONMMUG007314,NONMMUG007313,chr11,94133458,94155777,+
lNONMMUG009968,NONMMUG009968,linc1458,chr12,109603842,109661716,+
lNONMMUG014644,NONMMUG014644,linc1476,chr15,62037892,62378097,+
lNONMMUG015541,NONMMUG015541,AC163291.1,chr15,102270563,102278313,+
lNONMMUG016035,NONMMUG016035,1300002E11Rik,chr16,21794317,21809047,+
lNONMMUG020081,NONMMUG020081,linc1500,chr18,61624194,61649537,+
lNONMMUG033185,NONMMUG033185,AC123687.1,chr5,104523676,104559729,+
lNONMMUG035346,NONMMUG035346,Gm15051,chr6,52146716,52162283,+
lNONMMUG037542,NONMMUG037542,linc1563,chr7,27821850,27823397,+
lNONMMUG038526,NONMMUG038526,2900076A07Rik,chr7,81523538,81531606,+
lNONMMUG040640,NONMMUG040640,AC130841.1,chr8,57487962,57510262,+
lNONMMUG041226,NONMMUG041226,linc1583,chr8,89041308,89070952,+
lNONMMUG044612,NONMMUG044612,A230072C01Rik,chrX,20961675,20987349,+
lNONMMUG004979,NONMMUG004979,linc1597,chr10,127070374,127074796,+
lNONMMUG016306,NONMMUG016306,AC122247.1,chr16,33373095,33380755,-
lNONMMUG019605,NONMMUG019605,2410004N09Rik,chr18,33794303,33796130,+
lNONMMUG041483,NONMMUG041483,linc1634,chr8,106135055,106138722,+
lNONMMUG041158,NONMMUG041158,mrhl,chr8,85994243,85996662,+
