lncRNA_ID,gene_id,symbol,chr,start,end,strand
lNONMMUG041781,NONMMUG041781,Fendrr,chr8,121054792,121083111,-
lNONMMUG039685,NONMMUG039685,Kcnq1ot1,chr7,143212154,143298451,-
lNONMMUG005256,NONMMUG005256,Gm11974,chr11,6524541,6528813,-
lNONMMUG006319,NONMMUG006319,Gm16516,chr11,60920811,60931924,-
lNONMMUG009216,NONMMUG009216,3110056K07Rik,chr12,70990370,71015833,-
lNONMMUG011683,NONMMUG011683,Gm2373,chr13,97434969,97583996,+
lNONMMUG012356,NONMMUG012356,linc1287,chr14,21449644,21473360,-
lNONMMUG013483,NONMMUG013483,linc1288,chr14,76515876,76530770,+
lNONMMUG015092,NONMMUG015092,1700001L05Rik,chr15,83353645,83370107,-
lNONMMUG020673,NONMMUG020673,linc1317,chr19,5824551,5845878,-
lNONMMUG026480,NONMMUG026480,AC104908.1,chr3,41453776,41528490,-
lNONMMUG027202,NONMMUG027202,linc1335,chr3,93306467,93465359,-
lNONMMUG030867,NONMMUG030867,linc1343,chr4,132348013,132353686,-
lNONMMUG033102,NONMMUG033102,5430416N02Rik,chr5,100420770,100429535,-
lNONMMUG039373,NONMMUG039373,linc1388,chr7,127657061,127658234,-
lNONMMUG041273,NONMMUG041273,4933436C20Rik,chr8,92326030,92356120,-
lNONMMUG045607,NONMMUG045607,5530601H04Rik,chrX,105037027,105079610,-
lNONMMUG001887,NONMMUG001887,linc1423,chr1,136692802,136726142,+
lNONMMUG007314,NONMMUG007314,NONMMUG007313,chr11,94133458,94155777,+
lNONMMUG014644,NONMMUG014644,linc1476,chr15,62037892,62378097,+
lNONMMUG015541,NONMMUG015541,AC163291.1,chr15,102270563,102278313,+
lNONMMUG020081,NONMMUG020081,linc1500,chr18,61624194,61649537,+
lNONMMUG031941,NONMMUG031941,AC117663.1,chr5,23850596,23855038,+
lNONMMUG035343,NONMMUG035343,Gm15055,chr6,52102908,52115132,+
lNONMMUG035346,NONMMUG035346,Gm15051,chr6,52146716,52162283,+
lNONMMUG038526,NONMMUG038526,2900076A07Rik,chr7,81523538,81531606,+
lNONMMUG040640,NONMMUG040640,AC130841.1,chr8,57487962,57510262,+
lNONMMUG041226,NONMMUG041226,linc1583,chr8,89041308,89070952,+
lNONMMUG044612,NONMMUG044612,A230072C01Rik,chrX,20961675,20987349,+
lNONMMUG004979,NONMMUG004979,linc1597,chr10,127070374,127074796,+
lNONMMUG016306,NONMMUG016306,AC122247.1,chr16,33373095,33380755,-
lNONMMUG019605,NONMMUG019605,2410004N09Rik,chr18,33794303,33796130,+
lNONMMUG002062,NONMMUG002062,linc1618,chr1,153404185,153414233,-
lNONMMUG041483,NONMMUG041483,linc1634,chr8,106135055,106138722,+
lNONMMUG041158,NONMMUG041158,mrhl,chr8,85994243,85996662,+
lNONMMUG027325,NONMMUG027325,Gm21960,chr3,96411962,96414833,-
lNONMMUG045569,NONMMUG045569,Xist,chrX,103460372,103483233,-
lNONMMUG037997,NONMMUG037997,0610005C13Rik,chr7,45567791,45576004,-
lNONMMUG019126,NONMMUG019126,0610012D04Rik,chr17,87362238,87364463,-
lNONMMUG036234,NONMMUG036234,0610040F04Rik,chr6,108577035,108660935,-
lNONMMUG029984,NONMMUG029984,0610043K17Rik,chr4,101353782,101404589,+
lNONMMUG025552,NONMMUG025552,1110018N20Rik,chr2,167188658,167192809,+
lNONMMUG018153,NONMMUG018153,1110038B12Rik,chr17,34948537,34952525,-
lNONMMUG023778,NONMMUG023778,1110051M20Rik,chr2,91443125,91444667,-
lNONMMUG025718,NONMMUG025718,1300015D01Rik,chr2,173082783,173138344,+
lNONMMUG007059,NONMMUG007059,1500016L03Rik,chr11,84524711,84535832,+
lNONMMUG021267,NONMMUG021267,1500017E21Rik,chr19,36598900,36705642,-
lNONMMUG017262,NONMMUG017262,1600002D24Rik,chr16,95831122,95929078,-
lNONMMUG019422,NONMMUG019422,1700001G01Rik,chr18,17019050,17137559,+
lNONMMUG015801,NONMMUG015801,1700003L19Rik,chr16,12800610,12848653,+
lNONMMUG004706,NONMMUG004706,1700010J16Rik,chr10,112726786,112786102,+
lNONMMUG008380,NONMMUG008380,1700012B15Rik,chr12,3235658,3250376,+
lNONMMUG014716,NONMMUG014716,1700012I11Rik,chr15,67226768,67525371,+
lNONMMUG009899,NONMMUG009899,1700013N06Rik,chr12,106834225,106878842,+
lNONMMUG006735,NONMMUG006735,1700016P03Rik,chr11,75172422,75179489,+
lNONMMUG024765,NONMMUG024765,1700026D11Rik,chr2,132490544,132524058,+
lNONMMUG004229,NONMMUG004229,1700028I16Rik,chr10,82812122,82824242,+
lNONMMUG031445,NONMMUG031445,1700045H11Rik,chr4,150828224,150855077,-
lNONMMUG030564,NONMMUG030564,1700057H15Rik,chr4,124412657,124485960,-
lNONMMUG022949,NONMMUG022949,1700057H21Rik,chr2,51420983,51438786,-
lNONMMUG006542,NONMMUG006542,1700064E03Rik,chr11,69398530,69402830,+
lNONMMUG028968,NONMMUG028968,1700066J24Rik,chr4,41517383,41525824,+
lNONMMUG042236,NONMMUG042236,1700084C06Rik,chr9,21091754,21128787,+
lNONMMUG033853,NONMMUG033853,1700085B03Rik,chr5,127250545,127281670,-
lNONMMUG038993,NONMMUG038993,1700095J03Rik,chr7,109438617,109461497,+
lNONMMUG023451,NONMMUG023451,1700109F18Rik,chr2,74703247,74716170,-
lNONMMUG045058,NONMMUG045058,1700111N16Rik,chrX,69929258,70143588,-
lNONMMUG020333,NONMMUG020333,1700120E14Rik,chr18,74495682,74531140,-
lNONMMUG028567,NONMMUG028567,1700120G11Rik,chr4,14219495,14237451,-
lNONMMUG013268,NONMMUG013268,1700120O09Rik,chr14,67324893,67397755,-
lNONMMUG028536,NONMMUG028536,1700123M08Rik,chr4,11966565,11995025,+
lNONMMUG028494,NONMMUG028494,1700123O12Rik,chr4,10479961,10797812,-
lNONMMUG038355,NONMMUG038355,1810026B05Rik,chr7,73539202,73561696,-
lNONMMUG035002,NONMMUG035002,1810058I24Rik,chr6,35252653,35263496,+
lNONMMUG044429,NONMMUG044429,2010204K13Rik,chrX,7386777,7445144,-
lNONMMUG046159,NONMMUG046159,2210013O21Rik,chrX,153723608,153741297,+
lNONMMUG005219,NONMMUG005219,NONMMUG004254,chr11,5761711,5784869,+
lNONMMUG034337,NONMMUG034337,2210019I11Rik,chr5,147228595,147271521,-
